,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,Season
92,Sunderland,Aston Villa,A,0,1,11,9,1,6,6,7,1213
93,Swansea,Chelsea,D,1,1,9,11,7,7,8,6,1213
94,Tottenham,Wigan,A,0,1,13,7,10,4,9,3,1213
95,West Ham,Man City,D,0,0,6,18,1,8,3,7,1213
96,Liverpool,Newcastle,D,1,1,20,10,12,3,14,3,1213
97,QPR,Reading,D,1,1,23,18,12,8,8,8,1213
98,West Brom,Southampton,H,2,0,16,9,6,5,8,6,1213
99,Arsenal,Fulham,D,3,3,15,9,9,5,8,6,1213
100,Aston Villa,Man United,A,2,3,10,16,7,7,5,6,1213
101,Everton,Sunderland,H,2,1,16,6,10,4,6,2,1213
102,Reading,Norwich,D,0,0,7,10,3,3,10,3,1213
103,Southampton,Swansea,D,1,1,11,5,5,3,10,6,1213
104,Stoke,QPR,H,1,0,10,17,5,8,5,5,1213
105,Wigan,West Brom,A,1,2,14,7,6,4,5,8,1213
106,Chelsea,Liverpool,D,1,1,12,9,3,5,4,7,1213
107,Man City,Tottenham,H,2,1,16,6,8,2,8,2,1213
108,Newcastle,West Ham,A,0,1,14,10,9,5,11,4,1213
109,Arsenal,Tottenham,H,5,2,13,6,10,4,6,6,1213
110,Liverpool,Wigan,H,3,0,22,9,11,3,10,5,1213
111,Man City,Aston Villa,H,5,0,21,10,8,8,9,4,1213
112,Newcastle,Swansea,A,1,2,27,15,10,9,5,4,1213
113,Norwich,Man United,H,1,0,10,12,5,9,0,12,1213
114,QPR,Southampton,A,1,3,13,21,7,15,4,13,1213
115,Reading,Everton,H,2,1,12,21,4,11,7,13,1213
116,West Brom,Chelsea,H,2,1,8,19,6,12,0,12,1213
117,Fulham,Sunderland,A,1,3,18,12,13,9,4,4,1213
118,West Ham,Stoke,D,1,1,16,12,11,6,12,4,1213
119,Aston Villa,Arsenal,D,0,0,10,13,8,6,7,6,1213
120,Everton,Norwich,D,1,1,14,8,9,4,4,2,1213
121,Man United,QPR,H,3,1,15,10,10,6,9,7,1213
122,Stoke,Fulham,H,1,0,12,8,3,5,7,2,1213
123,Sunderland,West Brom,A,2,4,19,11,12,6,7,2,1213
124,Wigan,Reading,H,3,2,19,16,11,10,9,5,1213
125,Chelsea,Man City,D,0,0,5,11,1,7,6,11,1213
126,Southampton,Newcastle,H,2,0,17,8,10,3,4,3,1213
127,Swansea,Liverpool,D,0,0,17,21,8,14,7,6,1213
128,Tottenham,West Ham,H,3,1,25,10,13,6,4,2,1213
129,Aston Villa,Reading,H,1,0,15,11,7,6,8,3,1213
130,Sunderland,QPR,D,0,0,13,13,8,9,5,8,1213
131,Chelsea,Fulham,D,0,0,17,8,13,7,10,2,1213
132,Everton,Arsenal,D,1,1,14,12,10,9,6,6,1213
133,Man United,West Ham,H,1,0,23,9,13,3,5,5,1213
134,Southampton,Norwich,D,1,1,8,9,2,5,3,7,1213
135,Stoke,Newcastle,H,2,1,11,7,5,6,7,2,1213
136,Swansea,West Brom,H,3,1,13,6,8,2,5,2,1213
137,Tottenham,Liverpool,H,2,1,14,14,7,9,1,12,1213
138,Wigan,Man City,A,0,2,9,15,4,6,6,6,1213
139,Arsenal,Swansea,A,0,2,10,12,8,10,8,5,1213
140,Fulham,Tottenham,A,0,3,8,10,2,6,2,1,1213
141,Liverpool,Southampton,H,1,0,24,8,11,4,10,4,1213
142,Man City,Everton,D,1,1,9,8,6,5,5,2,1213
143,QPR,Aston Villa,D,1,1,17,7,12,3,11,4,1213
144,Reading,Man United,A,3,4,10,10,7,5,6,1,1213
145,West Brom,Stoke,A,0,1,14,6,11,4,5,5,1213
146,West Ham,Chelsea,H,3,1,16,16,13,9,14,5,1213
147,Norwich,Sunderland,H,2,1,7,16,5,6,2,6,1213
148,Newcastle,Wigan,H,3,0,16,9,8,4,4,4,1213
149,Arsenal,West Brom,H,2,0,16,7,7,2,7,4,1213
150,Aston Villa,Stoke,D,0,0,9,1,5,0,3,2,1213
151,Southampton,Reading,H,1,0,18,6,9,2,7,4,1213
152,Sunderland,Chelsea,A,1,3,14,11,10,5,11,1,1213
153,Swansea,Norwich,A,3,4,21,10,10,8,6,2,1213
154,Wigan,QPR,D,2,2,14,8,9,4,11,4,1213
155,Everton,Tottenham,H,2,1,17,8,11,6,4,4,1213
156,Man City,Man United,A,2,3,16,8,11,3,8,2,1213
157,West Ham,Liverpool,A,2,3,9,16,6,8,2,5,1213
158,Fulham,Newcastle,H,2,1,16,20,7,13,5,4,1213
159,Sunderland,Reading,H,3,0,16,12,11,5,6,8,1213
160,Liverpool,Aston Villa,A,1,3,26,9,17,6,7,2,1213
161,Man United,Sunderland,H,3,1,15,13,6,10,9,9,1213
162,Newcastle,Man City,A,1,3,17,16,8,10,12,7,1213
163,Norwich,Wigan,H,2,1,16,12,10,6,7,3,1213
164,QPR,Fulham,H,2,1,19,6,9,3,3,3,1213
165,Stoke,Everton,D,1,1,14,9,8,5,4,8,1213
166,Tottenham,Swansea,H,1,0,24,4,16,0,9,3,1213
167,West Brom,West Ham,D,0,0,19,10,10,2,8,2,1213
168,Reading,Arsenal,A,2,5,7,25,5,17,3,7,1213
169,Liverpool,Fulham,H,4,0,22,7,12,6,8,2,1213
170,Man City,Reading,H,1,0,17,6,10,1,12,3,1213
171,Newcastle,QPR,H,1,0,18,5,8,4,10,3,1213
172,Southampton,Sunderland,A,0,1,13,10,7,6,8,5,1213
173,Tottenham,Stoke,D,0,0,21,4,14,2,11,4,1213
174,West Brom,Norwich,H,2,1,12,10,8,4,6,5,1213
175,West Ham,Everton,A,1,2,6,15,5,8,3,5,1213
176,Wigan,Arsenal,A,0,1,13,10,5,8,4,4,1213
177,Chelsea,Aston Villa,H,8,0,24,7,18,4,8,4,1213
178,Swansea,Man United,D,1,1,14,19,10,16,3,6,1213
179,Aston Villa,Tottenham,A,0,4,4,20,1,16,2,16,1213
180,Everton,Wigan,H,2,1,17,10,9,6,11,2,1213
181,Fulham,Southampton,D,1,1,10,7,2,3,3,5,1213
182,Man United,Newcastle,H,4,3,16,16,10,11,2,2,1213
183,Norwich,Chelsea,A,0,1,8,20,4,11,5,7,1213
184,QPR,West Brom,A,1,2,18,12,8,6,14,9,1213
185,Reading,Swansea,D,0,0,3,10,2,4,6,4,1213
186,Stoke,Liverpool,H,3,1,7,12,6,6,6,8,1213
187,Sunderland,Man City,H,1,0,12,19,6,12,3,7,1213
188,Arsenal,Newcastle,H,7,3,16,10,12,8,5,6,1213
189,Aston Villa,Wigan,A,0,3,11,9,4,6,4,3,1213
190,Fulham,Swansea,A,1,2,22,10,13,9,9,8,1213
191,Man United,West Brom,H,2,0,17,13,14,9,9,6,1213
192,Norwich,Man City,A,3,4,13,13,8,9,4,9,1213
193,Reading,West Ham,H,1,0,3,11,2,3,2,2,1213
194,Stoke,Southampton,D,3,3,10,8,8,7,7,4,1213
195,Sunderland,Tottenham,A,1,2,9,18,6,14,3,8,1213
196,Everton,Chelsea,A,1,2,12,15,6,10,7,7,1213
197,QPR,Liverpool,A,0,3,14,16,7,11,1,9,1213
198,Man City,Stoke,H,3,0,17,4,9,3,7,2,1213
199,Southampton,Arsenal,D,1,1,9,6,6,4,3,3,1213
200,Swansea,Aston Villa,D,2,2,23,8,13,6,3,2,1213
201,Tottenham,Reading,H,3,1,30,7,20,4,12,3,1213
202,West Brom,Fulham,A,1,2,17,10,10,5,10,5,1213
203,West Ham,Norwich,H,2,1,14,9,8,3,11,3,1213
204,Wigan,Man United,A,0,4,7,14,3,9,1,6,1213
205,Chelsea,QPR,A,0,1,23,8,11,5,14,2,1213
206,Liverpool,Sunderland,H,3,0,27,6,16,5,9,5,1213
207,Newcastle,Everton,A,1,2,14,7,11,6,4,6,1213
208,Aston Villa,Southampton,A,0,1,16,11,10,4,9,5,1213
209,Everton,Swansea,D,0,0,16,4,8,2,7,1,1213
210,Fulham,Wigan,D,1,1,14,15,5,6,6,8,1213
211,Norwich,Newcastle,D,0,0,12,9,3,4,5,4,1213
212,QPR,Tottenham,D,0,0,4,16,1,8,2,6,1213
213,Reading,West Brom,H,3,2,7,11,7,6,8,4,1213
214,Stoke,Chelsea,A,0,4,11,11,5,9,6,7,1213
215,Sunderland,West Ham,H,3,0,18,9,14,4,4,6,1213
216,Arsenal,Man City,A,0,2,9,16,4,9,2,7,1213
217,Man United,Liverpool,H,2,1,15,12,10,5,3,1,1213
218,Chelsea,Southampton,D,2,2,19,7,10,3,4,3,1213
219,Liverpool,Norwich,H,5,0,17,5,10,3,10,4,1213
220,Man City,Fulham,H,2,0,20,3,11,0,1,2,1213
221,Newcastle,Reading,A,1,2,15,6,10,2,6,2,1213
222,Swansea,Stoke,H,3,1,12,7,6,2,7,6,1213
223,West Brom,Aston Villa,D,2,2,25,11,9,7,8,8,1213
224,West Ham,QPR,D,1,1,22,9,13,6,12,2,1213
225,Wigan,Sunderland,A,2,3,20,10,11,5,9,0,1213
226,Chelsea,Arsenal,H,2,1,13,12,8,8,3,9,1213
227,Tottenham,Man United,D,1,1,23,6,18,4,9,4,1213
228,Southampton,Everton,D,0,0,14,10,11,7,10,6,1213
229,Arsenal,West Ham,H,5,1,23,7,17,5,13,5,1213
230,Aston Villa,Newcastle,A,1,2,10,10,4,7,3,4,1213
231,QPR,Man City,D,0,0,5,15,3,7,2,10,1213
232,Stoke,Wigan,D,2,2,9,11,4,6,0,1,1213
233,Sunderland,Swansea,D,0,0,4,18,2,8,3,4,1213
234,Arsenal,Liverpool,D,2,2,14,10,6,5,8,6,1213
235,Everton,West Brom,H,2,1,11,7,4,4,5,2,1213
236,Fulham,West Ham,H,3,1,13,8,6,4,2,8,1213
237,Man United,Southampton,H,2,1,11,21,7,10,4,8,1213
238,Norwich,Tottenham,D,1,1,8,12,4,7,3,6,1213
239,Reading,Chelsea,D,2,2,5,14,2,5,0,6,1213
240,Arsenal,Stoke,H,1,0,15,6,9,2,11,1,1213
241,Everton,Aston Villa,D,3,3,22,8,13,4,15,2,1213
242,Fulham,Man United,A,0,1,15,13,8,8,5,8,1213
243,Newcastle,Chelsea,H,3,2,19,12,13,6,5,4,1213
244,QPR,Norwich,D,0,0,15,14,7,9,10,8,1213
245,Reading,Sunderland,H,2,1,9,10,5,6,6,8,1213
246,West Ham,Swansea,H,1,0,18,11,9,7,5,3,1213
247,Wigan,Southampton,D,2,2,5,15,3,7,8,5,1213
248,Man City,Liverpool,D,2,2,9,21,5,12,9,10,1213
249,West Brom,Tottenham,A,0,1,4,21,3,13,2,17,1213
250,Chelsea,Wigan,H,4,1,25,13,17,10,10,6,1213
251,Norwich,Fulham,D,0,0,15,7,8,5,3,4,1213
252,Southampton,Man City,H,3,1,13,7,7,4,6,6,1213
253,Stoke,Reading,H,2,1,13,5,10,4,11,3,1213
254,Sunderland,Arsenal,A,0,1,12,18,7,9,11,2,1213
255,Swansea,QPR,H,4,1,13,14,12,8,5,2,1213
256,Tottenham,Newcastle,H,2,1,16,9,9,7,11,5,1213
257,Aston Villa,West Ham,H,2,1,7,13,2,7,4,10,1213
258,Man United,Everton,H,2,0,10,9,6,8,7,6,1213
259,Liverpool,West Brom,A,0,2,23,4,14,3,13,5,1213
260,Liverpool,Swansea,H,5,0,33,4,18,3,10,1,1213
261,Arsenal,Aston Villa,H,2,1,24,5,14,3,12,3,1213
262,Fulham,Stoke,H,1,0,20,7,9,2,9,4,1213
263,Norwich,Everton,H,2,1,10,11,9,5,7,5,1213
264,QPR,Man United,A,0,2,12,13,5,8,2,4,1213
265,Reading,Wigan,A,0,3,7,14,1,8,2,9,1213
266,West Brom,Sunderland,H,2,1,17,10,7,6,5,5,1213
267,Man City,Chelsea,H,2,0,15,4,11,1,6,6,1213
268,Newcastle,Southampton,H,4,2,11,11,5,7,7,3,1213
269,West Ham,Tottenham,A,2,3,8,25,6,16,6,12,1213
270,Chelsea,West Brom,H,1,0,25,8,19,4,9,7,1213
271,Everton,Reading,H,3,1,18,12,12,6,9,10,1213
272,Man United,Norwich,H,4,0,13,1,10,1,7,3,1213
273,Southampton,QPR,A,1,2,17,5,9,3,6,3,1213
274,Stoke,West Ham,A,0,1,10,10,2,7,4,2,1213
275,Sunderland,Fulham,D,2,2,12,7,6,4,7,3,1213
276,Swansea,Newcastle,H,1,0,10,14,7,7,7,7,1213
277,Wigan,Liverpool,A,0,4,15,8,11,7,4,3,1213
278,Tottenham,Arsenal,H,2,1,11,10,5,6,4,6,1213
279,Aston Villa,Man City,A,0,1,10,20,5,12,6,5,1213
280,Norwich,Southampton,D,0,0,3,15,2,7,1,7,1213
281,QPR,Sunderland,H,3,1,15,7,8,3,4,5,1213
282,Reading,Aston Villa,A,1,2,10,18,4,7,6,1,1213
283,West Brom,Swansea,H,2,1,12,9,6,4,3,3,1213
284,Liverpool,Tottenham,H,3,2,10,15,4,9,1,4,1213
285,Newcastle,Stoke,H,2,1,14,7,6,4,14,4,1213
286,Aston Villa,QPR,H,3,2,10,18,6,11,9,6,1213
287,Everton,Man City,H,2,0,11,17,5,11,13,6,1213
288,Man United,Reading,H,1,0,17,5,8,1,5,4,1213
289,Southampton,Liverpool,H,3,1,17,8,12,6,7,5,1213
290,Stoke,West Brom,D,0,0,13,9,5,5,7,1,1213
291,Swansea,Arsenal,A,0,2,9,15,2,11,3,7,1213
292,Chelsea,West Ham,H,2,0,24,15,14,9,5,5,1213
293,Sunderland,Norwich,D,1,1,16,7,8,3,5,9,1213
294,Tottenham,Fulham,A,0,1,12,6,6,2,5,5,1213
295,Wigan,Newcastle,H,2,1,13,9,10,4,7,3,1213
296,Arsenal,Reading,H,4,1,23,4,14,2,11,3,1213
297,Everton,Stoke,H,1,0,15,10,9,5,4,3,1213
298,Man City,Newcastle,H,4,0,19,5,11,1,9,2,1213
299,Southampton,Chelsea,H,2,1,13,7,8,4,7,7,1213
300,Sunderland,Man United,A,0,1,9,10,4,6,3,6,1213
301,Swansea,Tottenham,A,1,2,11,9,3,7,5,2,1213
302,West Ham,West Brom,H,3,1,14,17,8,11,5,3,1213
303,Wigan,Norwich,H,1,0,13,9,6,5,10,3,1213
304,Aston Villa,Liverpool,A,1,2,10,16,7,12,7,8,1213
305,Fulham,QPR,H,3,2,9,19,5,11,3,6,1213
306,Norwich,Swansea,D,2,2,12,16,9,9,2,5,1213
307,Reading,Southampton,A,0,2,8,12,3,4,8,4,1213
308,Stoke,Aston Villa,A,1,3,6,11,2,8,4,2,1213
309,West Brom,Arsenal,A,1,2,16,11,5,6,6,4,1213
310,Chelsea,Sunderland,H,2,1,14,7,7,3,8,5,1213
311,Liverpool,West Ham,D,0,0,19,10,12,4,12,2,1213
312,Newcastle,Fulham,H,1,0,20,5,10,3,10,3,1213
313,QPR,Wigan,D,1,1,6,16,2,10,2,10,1213
314,Tottenham,Everton,D,2,2,19,9,10,5,7,6,1213
315,Man United,Man City,A,1,2,16,9,7,5,9,4,1213
316,Arsenal,Norwich,H,3,1,10,5,7,5,9,3,1213
317,Aston Villa,Fulham,D,1,1,15,8,7,3,8,5,1213
318,Everton,QPR,H,2,0,14,8,10,5,13,5,1213
319,Reading,Liverpool,D,0,0,7,26,5,15,4,9,1213
320,Southampton,West Ham,D,1,1,15,6,11,4,7,4,1213
321,Newcastle,Sunderland,A,0,3,15,8,9,7,10,9,1213
322,Stoke,Man United,A,0,2,13,9,4,3,3,7,1213
323,Arsenal,Everton,D,0,0,10,10,6,5,8,1,1213
324,Fulham,Chelsea,A,0,3,11,13,7,10,6,5,1213
325,Man City,Wigan,H,1,0,10,8,4,6,5,4,1213
326,West Ham,Man United,D,2,2,10,15,4,9,2,5,1213
327,Fulham,Arsenal,A,0,1,7,10,5,7,7,3,1213
328,Norwich,Reading,H,2,1,19,14,9,6,8,8,1213
329,QPR,Stoke,A,0,2,25,11,11,4,5,5,1213
330,Sunderland,Everton,H,1,0,8,8,4,5,3,10,1213
331,Swansea,Southampton,D,0,0,14,9,7,5,7,2,1213
332,West Brom,Newcastle,D,1,1,8,10,4,6,15,2,1213
333,West Ham,Wigan,H,2,0,17,18,11,10,3,6,1213
334,Liverpool,Chelsea,D,2,2,23,9,12,6,8,5,1213
335,Tottenham,Man City,H,3,1,11,11,8,7,4,5,1213
336,Man United,Aston Villa,H,3,0,10,8,5,5,5,3,1213
337,Everton,Fulham,H,1,0,17,6,10,2,7,2,1213
338,Man City,West Ham,H,2,1,16,9,10,6,9,4,1213
339,Newcastle,Liverpool,A,0,6,5,11,1,10,5,7,1213
340,Southampton,West Brom,A,0,3,16,11,4,9,7,6,1213
341,Stoke,Norwich,H,1,0,12,5,4,0,5,3,1213
342,Wigan,Tottenham,D,2,2,6,14,4,7,3,3,1213
343,Arsenal,Man United,D,1,1,19,10,13,5,7,2,1213
344,Chelsea,Swansea,H,2,0,21,11,14,8,6,3,1213
345,Reading,QPR,D,0,0,13,15,7,5,9,7,1213
346,Aston Villa,Sunderland,H,6,1,18,7,15,4,4,4,1213
347,Fulham,Reading,A,2,4,18,20,13,13,3,3,1213
348,Norwich,Aston Villa,A,1,2,9,12,4,6,6,5,1213
349,QPR,Arsenal,A,0,1,14,13,6,11,3,7,1213
350,Swansea,Man City,D,0,0,7,12,1,8,4,4,1213
351,Tottenham,Southampton,H,1,0,7,10,4,6,5,5,1213
352,West Brom,Wigan,A,2,3,17,13,11,8,7,5,1213
353,West Ham,Newcastle,D,0,0,9,11,3,6,7,3,1213
354,Liverpool,Everton,D,0,0,16,11,8,4,3,5,1213
355,Man United,Chelsea,A,0,1,10,15,4,6,2,7,1213
356,Sunderland,Stoke,D,1,1,14,11,7,7,5,6,1213
357,Man City,West Brom,H,1,0,21,20,9,11,6,8,1213
358,Wigan,Swansea,A,2,3,14,10,11,6,4,4,1213
359,Chelsea,Tottenham,D,2,2,15,13,8,6,6,5,1213
360,Aston Villa,Chelsea,A,1,2,12,11,7,8,6,7,1213
361,Everton,West Ham,H,2,0,23,7,13,2,7,1,1213
362,Fulham,Liverpool,A,1,3,10,20,8,14,7,8,1213
363,Man United,Swansea,H,2,1,16,5,9,2,7,5,1213
364,Norwich,West Brom,H,4,0,11,8,8,5,8,2,1213
365,QPR,Newcastle,A,1,2,8,10,3,7,2,2,1213
366,Stoke,Tottenham,A,1,2,6,23,3,15,2,11,1213
367,Sunderland,Southampton,D,1,1,5,15,5,10,3,10,1213
368,Arsenal,Wigan,H,4,1,19,10,12,5,7,4,1213
369,Reading,Man City,A,0,2,11,27,7,20,4,10,1213
370,Chelsea,Everton,H,2,1,20,16,10,9,7,4,1213
371,Liverpool,QPR,H,1,0,27,10,20,3,14,0,1213
372,Man City,Norwich,A,2,3,12,12,5,7,7,7,1213
373,Newcastle,Arsenal,A,0,1,7,9,2,3,4,4,1213
374,Southampton,Stoke,D,1,1,11,7,7,3,3,4,1213
375,Swansea,Fulham,A,0,3,19,8,11,6,8,0,1213
376,Tottenham,Sunderland,H,1,0,23,6,19,4,14,1,1213
377,West Brom,Man United,D,5,5,15,12,8,8,3,5,1213
378,West Ham,Reading,H,4,2,21,17,12,7,6,4,1213
379,Wigan,Aston Villa,D,2,2,12,5,6,2,4,2,1213
