,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,Season
0,Arsenal,Sunderland,D,0,0,14,3,4,2,7,0,1213
1,Fulham,Norwich,H,5,0,11,4,9,2,6,3,1213
2,Newcastle,Tottenham,H,2,1,6,12,4,6,3,5,1213
3,QPR,Swansea,A,0,5,20,12,11,8,5,3,1213
4,Reading,Stoke,D,1,1,9,6,3,3,4,3,1213
5,West Brom,Liverpool,H,3,0,15,14,10,7,7,3,1213
6,West Ham,Aston Villa,H,1,0,8,10,4,6,6,4,1213
7,Man City,Southampton,H,3,2,20,9,15,6,7,3,1213
8,Wigan,Chelsea,A,0,2,12,5,4,3,7,1,1213
9,Everton,Man United,H,1,0,16,12,7,7,6,8,1213
10,Chelsea,Reading,H,4,2,23,7,11,5,1,5,1213
11,Aston Villa,Everton,A,1,3,7,19,3,11,1,9,1213
12,Chelsea,Newcastle,H,2,0,11,11,6,5,2,3,1213
13,Man United,Fulham,H,3,2,20,14,11,11,8,8,1213
14,Norwich,QPR,D,1,1,13,6,4,4,6,2,1213
15,Southampton,Wigan,A,0,2,14,12,9,8,10,3,1213
16,Swansea,West Ham,H,3,0,10,7,7,6,5,4,1213
17,Tottenham,West Brom,D,1,1,18,10,10,5,7,5,1213
18,Liverpool,Man City,D,2,2,15,11,8,5,4,4,1213
19,Stoke,Arsenal,D,0,0,7,16,4,6,0,11,1213
20,Man City,QPR,H,3,1,19,9,12,5,8,3,1213
21,Swansea,Sunderland,D,2,2,14,4,10,3,8,0,1213
22,Tottenham,Norwich,D,1,1,15,10,9,4,4,2,1213
23,West Brom,Everton,H,2,0,14,12,8,5,6,3,1213
24,West Ham,Fulham,H,3,0,17,14,12,13,6,6,1213
25,Wigan,Stoke,D,2,2,9,16,5,8,2,1,1213
26,Liverpool,Arsenal,A,0,2,17,11,8,7,10,2,1213
27,Newcastle,Aston Villa,D,1,1,16,13,6,9,10,6,1213
28,Southampton,Man United,A,2,3,15,18,8,9,4,7,1213
29,Arsenal,Southampton,H,6,1,20,9,12,4,8,3,1213
30,Aston Villa,Swansea,H,2,0,17,10,13,5,11,5,1213
31,Fulham,West Brom,H,3,0,23,10,14,8,5,4,1213
32,Man United,Wigan,H,4,0,17,8,10,4,5,5,1213
33,Norwich,West Ham,D,0,0,20,9,14,4,8,5,1213
34,QPR,Chelsea,D,0,0,10,13,6,9,2,4,1213
35,Stoke,Man City,D,1,1,4,15,3,11,6,5,1213
36,Sunderland,Liverpool,D,1,1,6,20,4,9,2,7,1213
37,Reading,Tottenham,A,1,3,4,22,2,11,7,4,1213
38,Everton,Newcastle,D,2,2,17,11,10,7,3,3,1213
39,Chelsea,Stoke,H,1,0,17,13,9,6,13,3,1213
40,Southampton,Aston Villa,H,4,1,12,8,4,2,1,4,1213
41,Swansea,Everton,A,0,3,18,30,11,19,8,3,1213
42,West Brom,Reading,H,1,0,9,8,4,1,9,1,1213
43,West Ham,Sunderland,D,1,1,20,4,11,2,10,1,1213
44,Wigan,Fulham,A,1,2,18,12,9,9,8,7,1213
45,Liverpool,Man United,A,1,2,13,8,8,4,7,3,1213
46,Man City,Arsenal,D,1,1,14,10,10,4,9,4,1213
47,Newcastle,Norwich,H,1,0,16,8,8,3,4,5,1213
48,Tottenham,QPR,H,2,1,18,9,14,6,10,9,1213
49,Arsenal,Chelsea,A,1,2,14,10,5,5,6,5,1213
50,Everton,Southampton,H,3,1,17,8,9,2,10,3,1213
51,Fulham,Man City,A,1,2,7,21,3,12,2,4,1213
52,Man United,Tottenham,A,2,3,15,10,8,6,9,5,1213
53,Norwich,Liverpool,A,2,5,10,10,7,6,5,5,1213
54,Reading,Newcastle,D,2,2,14,8,7,3,6,3,1213
55,Stoke,Swansea,H,2,0,10,8,5,0,6,8,1213
56,Sunderland,Wigan,H,1,0,11,8,6,3,8,1,1213
57,Aston Villa,West Brom,D,1,1,19,14,8,7,11,4,1213
58,QPR,West Ham,A,1,2,13,17,9,10,4,13,1213
59,Chelsea,Norwich,H,4,1,20,7,13,4,10,2,1213
60,Man City,Sunderland,H,3,0,26,8,16,6,15,4,1213
61,Swansea,Reading,D,2,2,25,8,16,6,11,3,1213
62,West Brom,QPR,H,3,2,13,13,8,6,2,5,1213
63,West Ham,Arsenal,A,1,3,7,20,3,14,4,16,1213
64,Wigan,Everton,D,2,2,10,16,6,11,7,6,1213
65,Liverpool,Stoke,D,0,0,16,5,5,3,5,5,1213
66,Newcastle,Man United,A,0,3,13,12,3,9,8,6,1213
67,Southampton,Fulham,D,2,2,13,14,6,5,8,8,1213
68,Tottenham,Aston Villa,H,2,0,23,8,10,5,8,0,1213
69,Fulham,Aston Villa,H,1,0,17,9,8,4,6,4,1213
70,Liverpool,Reading,H,1,0,23,8,13,5,6,5,1213
71,Man United,Stoke,H,4,2,13,8,8,6,3,3,1213
72,Norwich,Arsenal,H,1,0,7,13,3,7,2,10,1213
73,Swansea,Wigan,H,2,1,18,10,11,7,9,2,1213
74,Tottenham,Chelsea,A,2,4,23,11,16,7,7,4,1213
75,West Brom,Man City,A,1,2,16,21,8,13,6,9,1213
76,West Ham,Southampton,H,4,1,9,11,8,4,6,3,1213
77,QPR,Everton,D,1,1,14,10,6,4,5,4,1213
78,Sunderland,Newcastle,D,1,1,16,10,6,7,8,4,1213
79,Arsenal,QPR,H,1,0,21,4,11,3,5,2,1213
80,Aston Villa,Norwich,D,1,1,7,14,5,6,3,8,1213
81,Man City,Swansea,H,1,0,10,9,5,5,3,0,1213
82,Reading,Fulham,D,3,3,15,16,9,8,6,8,1213
83,Stoke,Sunderland,D,0,0,11,6,6,3,7,3,1213
84,Wigan,West Ham,H,2,1,17,15,13,11,6,6,1213
85,Chelsea,Man United,A,2,3,14,15,11,7,8,6,1213
86,Everton,Liverpool,D,2,2,17,12,8,5,9,5,1213
87,Newcastle,West Brom,H,2,1,10,8,6,4,6,4,1213
88,Southampton,Tottenham,A,1,2,11,11,6,4,2,3,1213
89,Fulham,Everton,D,2,2,8,26,5,15,5,9,1213
90,Man United,Arsenal,H,2,1,11,7,7,3,6,1,1213
91,Norwich,Stoke,H,1,0,12,8,8,3,9,1,1213
